Nome,Previsto,Effettivo (2024),Differenza
Samuel Gustafson,45.33539,67.0,21.66461181640625
Jake Davis,35.451157,57.0,21.548843383789062
Jordan Wright,42.4859,21.0,21.48590087890625
Christian Früchtl,45.451107,24.0,21.451107025146484
Romeo Vucic,40.400463,19.0,21.400463104248047
George Hall,40.624577,62.0,21.375423431396484
Connor Roberts,47.684906,69.0,21.315093994140625
Julian Ryerson,51.89482,73.0,21.105178833007812
Moritz Nicolas,42.038727,21.0,21.038726806640625
Edoardo Corvi,45.998528,25.0,20.99852752685547
Stefan Bajic,45.981445,25.0,20.9814453125
Filippo Manfrin,45.965176,25.0,20.96517562866211
Ron-Thorben Hoffmann,45.96376,25.0,20.963760375976562
Federico Brancolini,45.962784,25.0,20.962783813476562
Rafael Hornos,45.962154,25.0,20.962154388427734
Matheo Raab,45.96145,25.0,20.961448669433594
Abraham Rodriguez,45.957924,25.0,20.957923889160156
John Pulskamp,45.957424,25.0,20.95742416381836
Pascal Kuiper,45.954376,25.0,20.954376220703125
Massamba Ndiaye,45.953915,25.0,20.953914642333984
Hunor Gedő,45.949203,25.0,20.949203491210938
Toni Stahl,45.948402,25.0,20.948402404785156
Răzvan Sava,45.940727,25.0,20.94072723388672
Amrit Gope,45.939487,25.0,20.93948745727539
Jonas Kersken,45.937412,25.0,20.93741226196289
Ghjuvanni Quilichini,45.9338,25.0,20.933799743652344
Sebastiano Luperto,55.124725,76.0,20.875274658203125
Mattia Aramu,31.140743,52.0,20.859256744384766
Mikkel Desler,46.395473,67.0,20.60452651977539
Ryan Wintle,43.6251,64.0,20.374900817871094
Callum O'Dowda,30.736128,51.0,20.263872146606445
Joe Rothwell,40.778313,61.0,20.22168731689453
James Delianov,46.00334,26.0,20.003341674804688
Ruslan Neshcheret,45.9759,26.0,19.97589874267578
Tomás Durso,45.9753,26.0,19.975299835205078
Boubacar Fall,45.971066,26.0,19.971065521240234
Daniel Adamczyk,45.964077,26.0,19.96407699584961
Philipp Schulze,45.961525,26.0,19.961524963378906
Davy Rouyard,45.96048,26.0,19.960479736328125
Arne Schulz,45.960255,26.0,19.960254669189453
Samik Mitra,45.959732,26.0,19.959732055664062
Luca Philipp,45.949783,26.0,19.949783325195312
Alexandru Utiu,45.94757,26.0,19.94757080078125
Lewis Webb,45.944027,26.0,19.944026947021484
Cian Tyler,45.943497,26.0,19.943496704101562
Lara Sharma,45.942062,26.0,19.942062377929688
Florian Schock,45.93918,26.0,19.939178466796875
Jonas Nickisch,45.937843,26.0,19.937843322753906
Mathias Delorge,28.26163,48.0,19.738370895385742
Ardon Jashari,44.78502,64.0,19.214981079101562
Oregan Ravet,46.05959,27.0,19.059589385986328
Tjark Ernst,45.9781,27.0,18.978099822998047
Anuj Kumar,45.975513,27.0,18.975513458251953
George Marks,45.966507,27.0,18.966506958007812
Fabio Rosales,45.964115,27.0,18.964115142822266
Cieran Slicker,45.961826,27.0,18.96182632446289
CJ dos Santos,45.960213,27.0,18.96021270751953
James Trafford,45.95856,27.0,18.958560943603516
Facundo Sanguinetti,45.95731,27.0,18.95730972290039
Tom Hendriks,45.957214,27.0,18.95721435546875
Niklas Sauter,45.95661,27.0,18.95661163330078
Nahuel Noll,45.954113,27.0,18.954113006591797
Bela Dumrath,45.953064,27.0,18.95306396484375
Noah Kruth,45.952633,27.0,18.952632904052734
Thomas Hasal,45.94267,27.0,18.942668914794922
Louis Lord,45.94263,27.0,18.942630767822266
Vebjørn Hoff,45.06546,64.0,18.934539794921875
Kian Moore,28.071032,47.0,18.92896842956543
Luca Valzania,42.37778,61.0,18.62221908569336
Marvin Friedrich,59.405712,78.0,18.594287872314453
Stefano Surdanović,28.484365,47.0,18.515634536743164
Thibo Somers,36.597973,55.0,18.402027130126953
Tijjani Noslin,23.676527,42.0,18.32347297668457
Tymur Puzankov,45.959213,64.0,18.040786743164062
Connal Trueman,27.964651,46.0,18.035348892211914
Luke McNicholas,45.969086,28.0,17.969085693359375
Andrei Gorcea,45.952896,28.0,17.952896118164062
Kacper Tobiasz,45.9514,28.0,17.951400756835938
Lucien Hawryluk,45.950443,28.0,17.950443267822266
Matteo Bignetti,45.95018,28.0,17.950180053710938
Matthew Sutton,45.948402,28.0,17.948402404785156
Sem Westerveld,45.945408,28.0,17.94540786743164
James Nieuwenhuizen,45.94057,28.0,17.940570831298828
Ben Godfrey,56.156242,74.0,17.84375762939453
Luka Romero,35.1864,53.0,17.8135986328125
Timo Königsmann,30.290043,48.0,17.709957122802734
Alimami Gory,39.65604,22.0,17.65604019165039
Dimitry Bertaud,35.3996,53.0,17.600399017333984
Ashley Maynard-Brewer,44.530308,27.0,17.53030776977539
Kevin Yakob,44.505646,62.0,17.494354248046875
Abu Francis,46.54605,64.0,17.453948974609375
Conor McGrandles,42.74681,60.0,17.253189086914062
Justin Ferizaj,31.816408,49.0,17.183591842651367
Jan Reichert,46.01527,29.0,17.015270233154297
Harrison Reed,54.98528,72.0,17.014720916748047
Jules Gaudin,42.990498,60.0,17.009502410888672
Joe Hilton,45.980778,29.0,16.980777740478516
Rudy Boulais,45.954338,29.0,16.95433807373047
Liam Isherwood,45.95373,29.0,16.953731536865234
Gurmeet Singh,45.95243,29.0,16.952430725097656
Patrick Pflücke,30.048338,47.0,16.951662063598633
Matthieu Rongier,45.95119,29.0,16.951190948486328
Maciej Kowal,45.94884,29.0,16.948841094970703
Silas Ostrzinski,45.9462,29.0,16.94620132446289
Pietro Boer,45.945866,29.0,16.945865631103516
Niraj Kumar,45.94533,29.0,16.945331573486328
Antonio Carrera,45.944912,29.0,16.94491195678711
Lars Larsson Jendal,45.944405,29.0,16.94440460205078
Sławomir Abramowicz,45.942013,29.0,16.942012786865234
Heath Richardson,45.940376,29.0,16.94037628173828
Mattia Zaccagni,40.159264,57.0,16.840736389160156
Joel Soñora,38.207993,55.0,16.792007446289062
Taylan Antalyalı,51.38875,68.0,16.611251831054688
Mads Pedersen,49.44113,66.0,16.558868408203125
Edoardo Bove,57.57085,74.0,16.429149627685547
Nick Powell,37.579166,54.0,16.420833587646484
Jake Hollman,40.61233,57.0,16.38766860961914
Franck Honorat,30.650251,47.0,16.349748611450195
Matt Targett,58.65114,75.0,16.348861694335938
Nicolás Rossi,38.234013,22.0,16.234012603759766
Emmanuel Iyoha,20.851528,37.0,16.14847183227539
Chiedozie Ogbene,40.87728,57.0,16.122718811035156
Anthony Marcucci,38.085587,22.0,16.085586547851562
Matěj Kovář,46.007336,30.0,16.007335662841797
Aaron Ramsey,48.997395,65.0,16.002605438232422
Cameron Cook,45.966293,30.0,15.966293334960938
Quentin Braat,45.965736,30.0,15.965736389160156
Daniel Margush,45.96382,30.0,15.963821411132812
Ross Munro,45.96179,30.0,15.961788177490234
Kacper Trelowski,45.95915,30.0,15.959148406982422
André Picornell,45.95671,30.0,15.956710815429688
Garissone Innocent,45.955437,30.0,15.955436706542969
Sebastian Banozic,45.954845,30.0,15.954845428466797
Amir Saipi,45.95358,30.0,15.95357894897461
Meshari Sanyor,45.948742,30.0,15.948741912841797
Anthony Racioppi,45.94644,30.0,15.946441650390625
Matthew Cox,45.94597,30.0,15.945968627929688
Tino Casali,45.944824,30.0,15.94482421875
Obed Nkambadio,45.94422,30.0,15.944221496582031
Aske Andresen,45.940823,30.0,15.94082260131836
Kayne van Oevelen,45.938206,30.0,15.93820571899414
Ryan Schofield,45.92709,30.0,15.92708969116211
Matteo Rover,24.099722,40.0,15.900278091430664
Joe Gauci,45.728798,30.0,15.728797912597656
Besar Halimi,37.373917,53.0,15.626083374023438
Jakov Medić,55.453056,71.0,15.546943664550781
Liam Smith,44.565792,60.0,15.434207916259766
Freddie Woodman,31.641457,47.0,15.358543395996094
Zak Vyner,52.656742,68.0,15.343257904052734
Liam Lindsay,53.704487,69.0,15.295513153076172
Davide Biraschi,56.745487,72.0,15.254512786865234
Rani Khedira,63.80786,79.0,15.192138671875
Bruno Valdez,58.82315,74.0,15.176849365234375
Cameron Harper,33.857697,49.0,15.142303466796875
