Nome,Previsto,Effettivo (2024),Differenza
Jesper Karlström,47.69432,70.0,22.305679321289062
Ramon Pascal Lundqvist,34.74824,57.0,22.251758575439453
Manuel Roffo,45.22377,23.0,22.223770141601562
Lazar Samardžić,34.97702,57.0,22.022979736328125
Mathias Delorge,26.277431,48.0,21.72256851196289
Alfie Jones,46.348278,68.0,21.651721954345703
Ryan Wintle,42.35454,64.0,21.645458221435547
George Hall,40.36317,62.0,21.636829376220703
Kian Moore,25.382881,47.0,21.61711883544922
Georgios Theocharis,45.513676,24.0,21.513675689697266
Emmanuel Ochoa,45.51136,24.0,21.51136016845703
Sam Tickle,45.510563,24.0,21.510562896728516
Anthony Patterson,45.508507,24.0,21.508506774902344
Max Hagemoser,45.50745,24.0,21.507450103759766
Steven Hall,45.507015,24.0,21.507015228271484
Fabijan Buntić,45.506695,24.0,21.506694793701172
Bandar Al Shahrani,45.50658,24.0,21.506580352783203
Wille Jakobsson,45.505398,24.0,21.50539779663086
Ben Bottomley,45.504692,24.0,21.50469207763672
Viljami Sinisalo,45.50423,24.0,21.504230499267578
Paul Schermer,45.503452,24.0,21.50345230102539
Diant Ramaj,45.50335,24.0,21.50334930419922
Samuel Brolin,45.503292,24.0,21.503292083740234
Tom Roufosse,45.503254,24.0,21.503253936767578
Joe Whitworth,45.503242,24.0,21.50324249267578
Armin Abaz,45.503105,24.0,21.50310516357422
José Arbio,45.50306,24.0,21.50305938720703
Christian Früchtl,45.49906,24.0,21.499061584472656
Rafał Strączek,45.45386,24.0,21.453861236572266
Connal Trueman,24.729334,46.0,21.270666122436523
Hubert Szulc,38.227886,17.0,21.227886199951172
Christy Pym,23.780537,45.0,21.219463348388672
Rúnar Alex Rúnarsson,23.965555,45.0,21.03444480895996
Harry Leonard,38.967743,18.0,20.967742919921875
Nicolas Kristof,43.880093,23.0,20.88009262084961
Moritz Nicolas,41.81517,21.0,20.815170288085938
Thibo Somers,34.217545,55.0,20.782455444335938
Frederik Lauenborg,45.242405,66.0,20.75759506225586
Ron-Thorben Hoffmann,45.524864,25.0,20.524864196777344
Hunor Gedő,45.51337,25.0,20.513370513916016
Amrit Gope,45.51016,25.0,20.51015853881836
Filippo Manfrin,45.50991,25.0,20.509910583496094
Jonas Kersken,45.509426,25.0,20.50942611694336
Rafael Hornos,45.50831,25.0,20.50830841064453
John Pulskamp,45.507854,25.0,20.507854461669922
Ghjuvanni Quilichini,45.506886,25.0,20.506885528564453
Răzvan Sava,45.50533,25.0,20.505329132080078
Matheo Raab,45.505085,25.0,20.505084991455078
Jack Stacey,48.4951,69.0,20.504901885986328
Massamba Ndiaye,45.504326,25.0,20.50432586669922
Toni Stahl,45.503845,25.0,20.50384521484375
Federico Brancolini,45.503777,25.0,20.50377655029297
Yusuf Karagöz,45.50359,25.0,20.503589630126953
Pascal Kuiper,45.503468,25.0,20.503467559814453
Abraham Rodriguez,45.503338,25.0,20.503337860107422
Adrián Alcaraz,37.495914,17.0,20.495914459228516
Reece James,61.50829,82.0,20.491710662841797
Edoardo Corvi,45.4917,25.0,20.49169921875
Paolo Ghiglione,44.558697,65.0,20.441303253173828
Amankwah Forson,33.929188,54.0,20.070812225341797
Stefano Surdanović,27.187597,47.0,19.812402725219727
Josh Andrews,38.786327,19.0,19.786327362060547
Olivier Deman,45.258636,65.0,19.741363525390625
Freddie Woodman,27.355972,47.0,19.644027709960938
Daniel Adamczyk,45.515427,26.0,19.515426635742188
Ruslan Neshcheret,45.513775,26.0,19.513774871826172
Samik Mitra,45.510033,26.0,19.510032653808594
Arne Schulz,45.50947,26.0,19.509471893310547
Tomás Durso,45.508026,26.0,19.508026123046875
Boubacar Fall,45.507946,26.0,19.507946014404297
Philipp Schulze,45.506123,26.0,19.506122589111328
Trevoh Chalobah,58.49409,78.0,19.505908966064453
Lewis Webb,45.504433,26.0,19.504432678222656
Luca Philipp,45.504242,26.0,19.504241943359375
Alexandru Utiu,45.503983,26.0,19.503982543945312
Lara Sharma,45.503914,26.0,19.50391387939453
Florian Schock,45.503788,26.0,19.503787994384766
Jonas Nickisch,45.50351,26.0,19.503509521484375
Cian Tyler,45.50331,26.0,19.503311157226562
Davy Rouyard,45.50329,26.0,19.50328826904297
Matteo Fiorenza,45.502857,26.0,19.502857208251953
Jarrod Bowen,24.571564,44.0,19.428436279296875
Luka Romero,33.65081,53.0,19.34918975830078
James Delianov,45.259953,26.0,19.259952545166016
Conor McGrandles,40.753513,60.0,19.24648666381836
Mile Svilar,38.87441,58.0,19.125591278076172
George Honeyman,46.117367,65.0,18.882633209228516
Duane Holmes,44.1606,63.0,18.839401245117188
Oscar Taty Maritu,44.813995,26.0,18.813995361328125
Andrea Favilli,43.747395,25.0,18.747394561767578
Luca Moro,41.558807,23.0,18.558807373046875
Jeroen Houwen,23.466496,42.0,18.533504486083984
George Marks,45.515842,27.0,18.51584243774414
Anuj Kumar,45.512054,27.0,18.512054443359375
Matías Córdova,45.511635,27.0,18.511634826660156
Bela Dumrath,45.511345,27.0,18.51134490966797
Fabio Rosales,45.51134,27.0,18.511341094970703
Cieran Slicker,45.511124,27.0,18.511123657226562
CJ dos Santos,45.509945,27.0,18.509944915771484
James Trafford,45.506733,27.0,18.506732940673828
Facundo Sanguinetti,45.50657,27.0,18.506568908691406
Louis Lord,45.50574,27.0,18.505741119384766
Tom Hendriks,45.505,27.0,18.505001068115234
Nahuel Noll,45.504765,27.0,18.504764556884766
Thomas Hasal,45.503716,27.0,18.50371551513672
Niklas Sauter,45.5036,27.0,18.50360107421875
Noah Kruth,45.503082,27.0,18.503082275390625
Jack Wills,45.50247,27.0,18.50246810913086
Tymur Puzankov,45.511654,64.0,18.488346099853516
Pelle van Amersfoort,33.623783,52.0,18.376216888427734
Ole Pohlmann,29.651161,48.0,18.348838806152344
Ashley Maynard-Brewer,45.29331,27.0,18.29330825805664
Joe Rothwell,42.708138,61.0,18.29186248779297
Jules Gaudin,41.73347,60.0,18.266529083251953
Alessandro Lopane,29.817465,48.0,18.18253517150879
Tjark Ernst,45.099895,27.0,18.099895477294922
Mohammed Al Saeed,31.905876,50.0,18.09412384033203
Anthony Marcucci,39.95586,22.0,17.955860137939453
