Nome,Target,Previsto,Effettivo (2024),Differenza
Max Hagemoser,defending,45.631477,24.0,21.63147735595703
Steven Hall,defending,45.62539,24.0,21.625389099121094
Sam Tickle,defending,45.62089,24.0,21.620891571044922
Georgios Theocharis,defending,45.611473,24.0,21.611473083496094
Anthony Patterson,defending,45.600986,24.0,21.60098648071289
Emmanuel Ochoa,defending,45.563362,24.0,21.56336212158203
Josh Andrews,defending,40.50921,19.0,21.50920867919922
Rafał Strączek,defending,45.48016,24.0,21.480159759521484
Christian Früchtl,defending,45.127876,24.0,21.12787628173828
Nicolas Kristof,defending,44.043896,23.0,21.043895721435547
Romeo Vucic,defending,39.989582,19.0,20.989582061767578
Connor Malley,defending,32.088043,53.0,20.911956787109375
Dan Nlundulu,defending,41.902298,21.0,20.902297973632812
Ghjuvanni Quilichini,defending,45.722137,25.0,20.722137451171875
Cameron Harper,defending,28.28816,49.0,20.71183967590332
Toni Stahl,defending,45.689835,25.0,20.689834594726562
Abraham Rodriguez,defending,45.679962,25.0,20.679962158203125
Pascal Kuiper,defending,45.679108,25.0,20.679107666015625
Federico Brancolini,defending,45.676373,25.0,20.676372528076172
Yusuf Karagöz,defending,45.658504,25.0,20.658504486083984
Massamba Ndiaye,defending,45.656647,25.0,20.656646728515625
Rafael Hornos,defending,45.644806,25.0,20.644805908203125
Matheo Raab,defending,45.64461,25.0,20.644611358642578
Răzvan Sava,defending,45.644417,25.0,20.64441680908203
Filippo Manfrin,defending,45.631756,25.0,20.631755828857422
Amrit Gope,defending,45.626,25.0,20.625999450683594
John Pulskamp,defending,45.608948,25.0,20.60894775390625
Jonas Kersken,defending,45.601067,25.0,20.60106658935547
Hunor Gedő,defending,45.58995,25.0,20.589950561523438
Ron-Thorben Hoffmann,defending,45.55011,25.0,20.55010986328125
Edoardo Corvi,defending,45.49411,25.0,20.494110107421875
Mathias Delorge,defending,27.948435,48.0,20.051565170288086
Thibo Somers,defending,35.167065,55.0,19.832935333251953
Stefano Surdanović,defending,27.170206,47.0,19.82979393005371
Florian Schock,defending,45.695786,26.0,19.695785522460938
Luca Philipp,defending,45.69199,26.0,19.69198989868164
Lewis Webb,defending,45.69136,26.0,19.691360473632812
Jonas Nickisch,defending,45.690895,26.0,19.690895080566406
Cian Tyler,defending,45.676933,26.0,19.67693328857422
Amankwah Forson,defending,34.326965,54.0,19.67303466796875
Davy Rouyard,defending,45.65852,26.0,19.658519744873047
Alexandru Utiu,defending,45.654716,26.0,19.65471649169922
Philipp Schulze,defending,45.648453,26.0,19.648452758789062
Lara Sharma,defending,45.646214,26.0,19.64621353149414
Arne Schulz,defending,45.62357,26.0,19.62356948852539
Boubacar Fall,defending,45.622395,26.0,19.622394561767578
Olivier Deman,defending,45.402706,65.0,19.597293853759766
Samik Mitra,defending,45.593784,26.0,19.59378433227539
Daniel Adamczyk,defending,45.587784,26.0,19.587783813476562
Tomás Durso,defending,45.574482,26.0,19.574481964111328
Ruslan Neshcheret,defending,45.572933,26.0,19.572933197021484
Alex Badolato,defending,22.449268,42.0,19.550731658935547
Kian Moore,defending,27.522228,47.0,19.477771759033203
Dimitar Mitov,defending,41.60283,61.0,19.397171020507812
Luca Moro,defending,42.32421,23.0,19.32421112060547
Luka Romero,defending,34.108868,53.0,18.891132354736328
Tom Hendriks,defending,45.69232,27.0,18.69232177734375
Thomas Hasal,defending,45.682167,27.0,18.682167053222656
Noah Kruth,defending,45.680164,27.0,18.680164337158203
Jack Wills,defending,45.67622,27.0,18.676219940185547
Facundo Sanguinetti,defending,45.670002,27.0,18.670001983642578
Matías Córdova,defending,45.6557,27.0,18.65570068359375
Niklas Sauter,defending,45.651726,27.0,18.65172576904297
Nahuel Noll,defending,45.64758,27.0,18.647579193115234
Louis Lord,defending,45.645866,27.0,18.64586639404297
CJ dos Santos,defending,45.626865,27.0,18.62686538696289
James Trafford,defending,45.617958,27.0,18.617958068847656
Cieran Slicker,defending,45.60972,27.0,18.609718322753906
Bela Dumrath,defending,45.608078,27.0,18.608078002929688
George Marks,defending,45.582794,27.0,18.582794189453125
Anuj Kumar,defending,45.57866,27.0,18.578659057617188
Fabio Rosales,defending,45.506393,27.0,18.506393432617188
Tymur Puzankov,defending,45.545288,64.0,18.4547119140625
Tjark Ernst,defending,45.44497,27.0,18.444969177246094
Tijjani Noslin,defending,23.641872,42.0,18.35812759399414
Mamadou Camara,defending,43.35166,25.0,18.351661682128906
Tim Skarke,defending,27.021927,45.0,17.978073120117188
Abu Francis,defending,46.141365,64.0,17.85863494873047
Jules Gaudin,defending,42.150063,60.0,17.849937438964844
Justin Ferizaj,defending,31.259079,49.0,17.740921020507812
James Nieuwenhuizen,defending,45.72132,28.0,17.72132110595703
Sem Westerveld,defending,45.702858,28.0,17.702857971191406
Ionuț Gurău,defending,45.700214,28.0,17.700214385986328
Matthew Sutton,defending,45.689835,28.0,17.689834594726562
Andrei Gorcea,defending,45.657578,28.0,17.657577514648438
Magnus Nielsen,defending,45.6497,28.0,17.649700164794922
Kacper Tobiasz,defending,45.647007,28.0,17.64700698852539
Lucien Hawryluk,defending,45.619576,28.0,17.61957550048828
Vic Chambaere,defending,45.568783,28.0,17.568782806396484
Jake Hollman,defending,39.44449,57.0,17.555511474609375
Matteo Bignetti,defending,45.54623,28.0,17.54623031616211
Luke McNicholas,defending,45.544113,28.0,17.544113159179688
James Delianov,defending,43.41537,26.0,17.41537094116211
Kegs Chauke,defending,37.656597,55.0,17.343402862548828
Alfie Jones,defending,51.172615,68.0,16.82738494873047
Alessandro Lopane,defending,31.19308,48.0,16.80691909790039
Antonio Carrera,defending,45.69961,29.0,16.69961166381836
Gurmeet Singh,defending,45.69689,29.0,16.69689178466797
Heath Richardson,defending,45.69607,29.0,16.69607162475586
Rudy Boulais,defending,45.695713,29.0,16.69571304321289
Pietro Boer,defending,45.693676,29.0,16.693675994873047
Sławomir Abramowicz,defending,45.689697,29.0,16.689697265625
Niraj Kumar,defending,45.685482,29.0,16.685482025146484
Niklas Hedl,defending,45.684135,29.0,16.68413543701172
Lars Larsson Jendal,defending,45.6758,29.0,16.675800323486328
Matthieu Rongier,defending,45.67462,29.0,16.67462158203125
Silas Ostrzinski,defending,45.660805,29.0,16.660804748535156
Gabriel Slonina,defending,24.367512,41.0,16.632488250732422
