Nome,Target,Previsto,Effettivo (2024),Differenza
Noah Kruth,shooting,47.544594,64.0,16.455406188964844
Roman Celentano,shooting,47.544804,64.0,16.455196380615234
Dennis Smarsch,shooting,47.54514,64.0,16.45486068725586
Nathan Trott,shooting,47.5539,64.0,16.44609832763672
Marko Johansson,shooting,47.60327,64.0,16.396728515625
Kyle Knoyle,shooting,29.63047,46.0,16.369529724121094
Bali Mumba,shooting,43.685238,60.0,16.314762115478516
Isaac Price,shooting,44.736256,61.0,16.263744354248047
Cameron Humphreys,shooting,39.848854,56.0,16.151145935058594
Dembo Sylla,shooting,34.995148,51.0,16.004852294921875
Malcom Bokele,shooting,31.060127,47.0,15.939872741699219
Mark Byrne,shooting,38.14828,54.0,15.85171890258789
Dominic Jefferies,shooting,37.297714,53.0,15.702285766601562
Björn Meijer,shooting,46.302586,62.0,15.69741439819336
Patrik Mercado,shooting,38.303097,54.0,15.696903228759766
Leighton Clarkson,shooting,47.345963,63.0,15.654037475585938
Robert Popa,shooting,47.542904,63.0,15.457096099853516
Utku Yuvakuran,shooting,47.542923,63.0,15.457077026367188
Jonas Kersken,shooting,47.54331,63.0,15.45669174194336
Andrei Gorcea,shooting,47.543423,63.0,15.45657730102539
Erdem Canpolat,shooting,47.54346,63.0,15.456539154052734
Thomas Himeur,shooting,47.54353,63.0,15.456470489501953
Ashley Maynard-Brewer,shooting,47.543568,63.0,15.456432342529297
Arthur Lyska,shooting,47.543648,63.0,15.456352233886719
Daniel Bielica,shooting,47.543793,63.0,15.456207275390625
Quentin Galvez-Diarra,shooting,47.543926,63.0,15.456073760986328
Kacper Tobiasz,shooting,47.54417,63.0,15.455829620361328
Sem Westerveld,shooting,47.544395,63.0,15.455604553222656
Boubacar Fall,shooting,47.54445,63.0,15.455551147460938
Taye Ashby-Hammond,shooting,47.544647,63.0,15.455352783203125
Michele Cerofolini,shooting,47.545353,63.0,15.454647064208984
Markus Schubert,shooting,47.54954,63.0,15.450458526611328
George Hall,shooting,43.66687,59.0,15.3331298828125
Yaimar Medina,shooting,36.856796,52.0,15.143203735351562
Noé Lebreton,shooting,40.154526,55.0,14.845474243164062
Tadeo Allende,shooting,59.16381,74.0,14.836189270019531
Kajetan Szmyt,shooting,42.260315,57.0,14.73968505859375
Nikolas Veratschnig,shooting,37.436573,52.0,14.563426971435547
Philip Fahrner,shooting,36.44421,51.0,14.555789947509766
Magnus Sjøeng,shooting,47.542637,62.0,14.45736312866211
Gabriel Slonina,shooting,47.543324,62.0,14.456676483154297
Stefan Drljača,shooting,47.543552,62.0,14.45644760131836
Daniel Barden,shooting,47.54368,62.0,14.456321716308594
Matthew Cox,shooting,47.54378,62.0,14.456218719482422
Théo De Percin,shooting,47.543823,62.0,14.4561767578125
Luis Miguel Marquines,shooting,47.543842,62.0,14.456157684326172
Xavier Dziekoński,shooting,47.543888,62.0,14.456111907958984
Luca Philipp,shooting,47.544003,62.0,14.455997467041016
Max Weiß,shooting,47.544044,62.0,14.455955505371094
Oliver Petersen,shooting,47.54414,62.0,14.455860137939453
Lasse Rieß,shooting,47.544167,62.0,14.455833435058594
Pietro Boer,shooting,47.54443,62.0,14.455570220947266
Teddy Boulhendi,shooting,47.544445,62.0,14.455554962158203
Gabriel Kobylak,shooting,47.544563,62.0,14.455436706542969
Senne Lammens,shooting,47.544598,62.0,14.455402374267578
Matthieu Rongier,shooting,47.544598,62.0,14.455402374267578
Jonathan Lima,shooting,47.54465,62.0,14.45534896850586
Jakob Golz,shooting,47.54487,62.0,14.455131530761719
Ruslan Neshcheret,shooting,47.545006,62.0,14.454994201660156
Julian Krahl,shooting,47.545044,62.0,14.4549560546875
Mateusz Kochalski,shooting,47.54562,62.0,14.45438003540039
Mattia Chiesa,shooting,47.54908,62.0,14.450920104980469
Adam Wilk,shooting,47.5524,62.0,14.447601318359375
Tobias Schützenauer,shooting,47.559513,62.0,14.440486907958984
Dimitar Mitov,shooting,47.630566,62.0,14.369434356689453
Tomás Silva,shooting,36.630947,51.0,14.36905288696289
Sofyan Chader,shooting,46.75302,61.0,14.246978759765625
Oussama Targhalline,shooting,46.913273,61.0,14.086727142333984
Igor Strzałek,shooting,42.933933,57.0,14.06606674194336
Victor Loturi,shooting,40.94726,55.0,14.052738189697266
Elio Capradossi,shooting,21.982027,36.0,14.017972946166992
Evan Ferguson,shooting,58.050846,72.0,13.949153900146484
Zeno Debast,shooting,39.058548,53.0,13.941452026367188
Leif Davis,shooting,32.090847,46.0,13.90915298461914
Joe Riley,shooting,40.104828,54.0,13.895172119140625
Bilal Brahimi,shooting,47.142452,61.0,13.857547760009766
Falko Michel,shooting,41.263416,55.0,13.736583709716797
Nathaniel Brown,shooting,31.326412,45.0,13.673587799072266
Alfie Chang,shooting,34.420322,48.0,13.57967758178711
Nicolò Cambiaghi,shooting,59.453533,73.0,13.546466827392578
Federico Giraudo,shooting,28.477825,42.0,13.522174835205078
Luca Unbehaun,shooting,47.542995,61.0,13.45700454711914
Jökull Andrésson,shooting,47.543167,61.0,13.456832885742188
Christos Talichmanidis,shooting,47.54349,61.0,13.45650863647461
Noel Törnqvist,shooting,47.54364,61.0,13.45635986328125
Manuel Ferrel,shooting,47.543716,61.0,13.456283569335938
Yann Lienard,shooting,47.543747,61.0,13.456253051757812
Hans Christian Bernat,shooting,47.544117,61.0,13.455883026123047
Joaquín Blázquez,shooting,47.54418,61.0,13.455818176269531
Ryan Schofield,shooting,47.544205,61.0,13.455795288085938
