Nome,Target,Previsto,Effettivo (2024),Differenza
Zeki Amdouni,overall,65.61573,74.0,8.384269714355469
Hayden Hackney,overall,61.642437,70.0,8.357563018798828
Sydney van Hooijdonk,overall,63.644608,72.0,8.355392456054688
George Campbell,overall,55.65125,64.0,8.348751068115234
Stephan Negru,overall,49.661064,58.0,8.338935852050781
Konstantinos Koulierakis,overall,59.685604,68.0,8.314395904541016
George Hall,overall,57.687065,66.0,8.312934875488281
Daniel Paraschiv,overall,59.68713,68.0,8.312870025634766
Serdar Saatçı,overall,59.68749,68.0,8.312511444091797
Bautista Kociubinski,overall,62.690094,71.0,8.309906005859375
Gabriele Corbo,overall,58.743866,67.0,8.256134033203125
Gonzalo Luján,overall,61.76273,70.0,8.23727035522461
Georgios Vagiannidis,overall,58.76673,67.0,8.233268737792969
Njabulo Blom,overall,59.769108,68.0,8.230892181396484
Arda Güler,overall,68.78798,77.0,8.212020874023438
Jack Currie,overall,55.80948,64.0,8.190521240234375
Mamadou Tounkara,overall,56.825256,65.0,8.17474365234375
Giovanni Fabbian,overall,60.881767,69.0,8.118232727050781
Bartłomiej Kłudka,overall,54.884785,63.0,8.115215301513672
Jesurun Rak-Sakyi,overall,62.88774,71.0,8.112258911132812
Salvatore Dario La Vardera,overall,52.894093,61.0,8.105907440185547
Okan Erdoğan,overall,57.903294,66.0,8.09670639038086
Théo Le Bris,overall,60.906517,69.0,8.093482971191406
Frank Magri,overall,60.924274,69.0,8.075725555419922
Caleb Taylor,overall,58.932247,67.0,8.067752838134766
Patrick Schulte,overall,57.93634,66.0,8.06365966796875
Jerry Yates,overall,62.97514,71.0,8.024860382080078
Lindrit Kamberi,overall,57.9882,66.0,8.011798858642578
Miguel Chaiwa,overall,64.9878,57.0,7.987800598144531
Björn Meijer,overall,65.03056,73.0,7.9694366455078125
Stefano Turati,overall,64.03361,72.0,7.966392517089844
Hjalmar Ekdal,overall,65.04495,73.0,7.955047607421875
Christian Witzig,overall,57.05821,65.0,7.941791534423828
Alfie Doughty,overall,64.06384,72.0,7.9361572265625
Federico Redondo,overall,63.10978,71.0,7.890220642089844
Valeriy Bondar,overall,64.118706,72.0,7.881294250488281
Cameron Carter-Vickers,overall,68.15418,76.0,7.845817565917969
Bafodé Diakité,overall,67.16158,75.0,7.838417053222656
Logan Costa,overall,62.16717,70.0,7.832828521728516
Simon Elisor,overall,58.17105,66.0,7.828948974609375
Franck Honorat,overall,68.17206,76.0,7.82794189453125
Tomás Durso,overall,58.196575,66.0,7.803424835205078
Malik Tillman,overall,66.21908,74.0,7.780921936035156
Johan Bakayoko,overall,67.22664,75.0,7.7733612060546875
Valentin Gendrey,overall,64.22836,72.0,7.771636962890625
Issiar Dramé,overall,55.23043,63.0,7.769569396972656
Kajetan Szmyt,overall,57.24769,65.0,7.752311706542969
Grejohn Kyei,overall,64.25787,72.0,7.74212646484375
Jonas Urbig,overall,58.259186,66.0,7.740814208984375
Vladyslav Vanat,overall,61.284508,69.0,7.715492248535156
Senne Lynen,overall,65.28773,73.0,7.712272644042969
Cheick Keita,overall,62.31198,70.0,7.688018798828125
George Harmon,overall,54.32157,62.0,7.678428649902344
Heorhii Sudakov,overall,67.326866,75.0,7.673133850097656
Moussa Diarra,overall,62.33215,70.0,7.667850494384766
Leif Davis,overall,62.343174,70.0,7.656826019287109
Daniel Samek,overall,68.636536,61.0,7.63653564453125
Matěj Jurásek,overall,63.379154,71.0,7.620845794677734
Adam Obert,overall,60.405037,68.0,7.594963073730469
Nunzio Lella,overall,58.407185,66.0,7.592815399169922
Hakim Guenouche,overall,60.415844,68.0,7.584156036376953
Antonio Candela,overall,61.42125,69.0,7.5787506103515625
Dominik Stumberger,overall,56.429787,64.0,7.570213317871094
Jean Hugonet,overall,60.439808,68.0,7.560192108154297
Azzedine Ounahi,overall,68.441696,76.0,7.5583038330078125
Moritz Broschinski,overall,59.441803,67.0,7.558197021484375
Salim Diakité,overall,59.465652,67.0,7.5343475341796875
