Nome,Target,Previsto,Effettivo (2024),Differenza
Joshua Wilson-Esbrand,passing,45.01969,58.0,12.980308532714844
Trai Hume,passing,45.09312,58.0,12.906879425048828
Skelly Alvero,passing,50.246513,63.0,12.753486633300781
Anton Gaaei,passing,49.25848,62.0,12.741519927978516
Loick Ayina,passing,31.270603,44.0,12.72939682006836
Ernest Nuamah,passing,45.27942,58.0,12.7205810546875
Nathaniel Brown,passing,44.279564,57.0,12.720436096191406
Lukas Sulzbacher,passing,49.311733,62.0,12.68826675415039
Simon Adingra,passing,53.399433,66.0,12.600566864013672
Caleb Wiley,passing,41.42889,54.0,12.571109771728516
Ibrahima Baldé,passing,41.509003,54.0,12.490997314453125
Bradley Barcola,passing,58.58625,71.0,12.413749694824219
Max Weiß,passing,51.668304,64.0,12.331695556640625
Noah Kruth,passing,51.668983,64.0,12.331016540527344
Rafał Strączek,passing,51.66986,64.0,12.33013916015625
Joey Kesting,passing,51.67103,64.0,12.328971862792969
Ashley Maynard-Brewer,passing,51.67272,64.0,12.327278137207031
Andrei Gorcea,passing,51.672863,64.0,12.327136993408203
Gaëtan Poussin,passing,51.67372,64.0,12.326278686523438
Johannes Schenk,passing,51.675903,64.0,12.3240966796875
Dominique Youfeigane,passing,51.676853,64.0,12.32314682006836
José Arbio,passing,51.677536,64.0,12.322463989257812
Issam El Maach,passing,51.689804,64.0,12.310195922851562
Freddie Woodman,passing,51.691837,64.0,12.308162689208984
Toby Savin,passing,51.693714,64.0,12.306285858154297
Alex Badolato,passing,36.718815,49.0,12.281185150146484
Radosław Majecki,passing,51.73496,64.0,12.26504135131836
Josué Casimir,passing,45.79836,58.0,12.201641082763672
Yassine Kechta,passing,55.86787,68.0,12.132129669189453
Hakim Guenouche,passing,48.901245,61.0,12.0987548828125
Gideon Tetteh,passing,35.950043,48.0,12.049957275390625
Amir Abdijanovic,passing,39.037548,51.0,11.962451934814453
Evan Ferguson,passing,46.10826,58.0,11.891738891601562
Alberto Dossena,passing,35.196194,47.0,11.80380630493164
Adrian Mazilu,passing,45.32254,57.0,11.677459716796875
Habib Diarra,passing,54.392326,66.0,11.607673645019531
Leif Davis,passing,54.447018,66.0,11.552982330322266
Connor Barron,passing,52.456337,64.0,11.543663024902344
Mats Wieffer,passing,61.48441,73.0,11.51559066772461
Matt Baker,passing,30.547386,42.0,11.452613830566406
Zakaria Hawsawi,passing,40.558823,52.0,11.441177368164062
Marten Winkler,passing,46.58013,58.0,11.419868469238281
Philip Fahrner,passing,52.61735,64.0,11.382648468017578
Christos Zafeiris,passing,59.627033,71.0,11.372966766357422
Kacper Bieszczad,passing,51.668762,63.0,11.33123779296875
Fabio Rosales,passing,51.67039,63.0,11.329608917236328
Théo De Percin,passing,51.671463,63.0,11.328536987304688
Noel Törnqvist,passing,51.67192,63.0,11.328079223632812
Niklas Hedl,passing,51.672028,63.0,11.327972412109375
Arthur Okonkwo,passing,51.672935,63.0,11.327064514160156
Arthur Lyska,passing,51.67303,63.0,11.326969146728516
Mustafa Burak Bozan,passing,51.67425,63.0,11.325748443603516
Sławomir Abramowicz,passing,51.67463,63.0,11.325370788574219
Boubacar Fall,passing,51.6759,63.0,11.324100494384766
Harold Moukoudi,passing,40.677036,52.0,11.32296371459961
