Nome,Target,Previsto,Effettivo (2024),Differenza
Harvey Wiles-Richards,Physicality,59.188747,48.0,11.18874740600586
Saad Al Mousa,Physicality,61.8163,73.0,11.183700561523438
Mohammed Al Dawsari,Physicality,53.818592,65.0,11.181407928466797
Josh Coburn,Physicality,58.826412,70.0,11.173587799072266
Élysée Logbo,Physicality,44.828884,56.0,11.17111587524414
Stephan Negru,Physicality,52.86466,64.0,11.13534164428711
Mats Wieffer,Physicality,68.02542,79.0,10.974578857421875
Nathan Moriah-Welsh,Physicality,52.055344,63.0,10.944656372070312
Idris El Mizouni,Physicality,63.09812,74.0,10.901878356933594
Riccardo Calafiori,Physicality,68.13028,79.0,10.869720458984375
Luca Jaquez,Physicality,55.135822,66.0,10.864177703857422
Furkan Bayır,Physicality,60.141964,71.0,10.858036041259766
James Trafford,Physicality,59.148663,70.0,10.851337432861328
Hayden Hackney,Physicality,61.17413,72.0,10.825870513916016
Filip Jörgensen,Physicality,59.178673,70.0,10.821327209472656
Matheo Raab,Physicality,59.18547,70.0,10.814529418945312
Kaan Caliskaner,Physicality,62.22548,73.0,10.774520874023438
Noah Atubolu,Physicality,59.22958,70.0,10.77042007446289
Connor Roberts,Physicality,63.244183,74.0,10.755817413330078
Alessio Buttaro,Physicality,61.276894,72.0,10.723106384277344
Tyler Roberts,Physicality,59.31031,70.0,10.689689636230469
Dominik Reimann,Physicality,59.334206,70.0,10.665794372558594
Amadou Mbengue,Physicality,57.342506,68.0,10.657493591308594
Erlend Dahl Reitan,Physicality,63.360138,74.0,10.639862060546875
Alex Scott,Physicality,57.360817,68.0,10.639183044433594
Ivan Nevistić,Physicality,59.411182,70.0,10.588817596435547
Isaac Schmidt,Physicality,50.415703,61.0,10.584297180175781
Cameron Carter-Vickers,Physicality,72.4168,83.0,10.583198547363281
Christian Witzig,Physicality,53.438267,64.0,10.56173324584961
Miguel Reichmuth,Physicality,49.505726,39.0,10.505725860595703
Luka Romero,Physicality,44.517418,55.0,10.482582092285156
Conrad Wallem,Physicality,55.550774,66.0,10.449226379394531
Jez Lofthouse,Physicality,46.559456,57.0,10.440544128417969
August Mikkelsen,Physicality,49.577366,60.0,10.42263412475586
